task_id,employee_id,department,task_category,priority,assigned_date,deadline,completion_date,completed,deadline_met,hours_estimated,hours_actual,efficiency_score,satisfaction_rating
TASK00459,EMP0055,Marketing,Meeting,Medium,2025-05-11,2025-05-14,2025-05-15,True,False,39,62.4,77.0,2.0
TASK00460,EMP0071,Engineering,Documentation,Medium,2026-02-19,2026-02-28,2026-03-03,True,False,34,17.5,78.9,5.0
TASK00461,EMP0074,HR,Code Review,Medium,2025-10-25,2025-11-07,2025-11-12,True,False,12,9.2,63.1,4.0
TASK00462,EMP0082,Sales,Testing,Critical,2025-12-06,2025-12-07,2025-12-12,True,False,16,9.5,91.5,2.0
TASK00463,EMP0096,HR,Report,Low,2026-03-31,2026-04-04,2026-04-07,True,False,26,31.3,96.9,1.0
TASK00464,EMP0023,Finance,Code Review,Low,2025-05-08,2025-05-19,2025-05-21,True,False,18,24.6,72.0,4.0
TASK00465,EMP0193,Marketing,Documentation,Medium,2025-10-10,2025-10-16,2025-10-15,True,True,35,30.7,68.9,5.0
TASK00466,EMP0119,Marketing,Bug Fix,Medium,2026-01-03,2026-01-17,2026-01-22,True,False,32,58.6,82.4,5.0
TASK00467,EMP0107,Support,Documentation,High,2025-06-29,2025-07-07,2025-07-06,True,True,34,49.8,92.0,2.0
TASK00468,EMP0124,Engineering,Testing,Low,2025-04-24,2025-04-30,2025-04-29,True,True,16,18.0,88.4,1.0
TASK00469,EMP0138,Support,Bug Fix,Medium,2026-03-17,2026-03-25,2026-03-25,True,True,28,14.9,66.7,2.0
TASK00470,EMP0008,HR,Code Review,Medium,2026-03-15,2026-03-18,2026-03-16,True,True,38,27.4,87.2,3.0
TASK00471,EMP0072,HR,Bug Fix,Critical,2026-03-28,2026-04-06,,False,False,40,,,
TASK00472,EMP0079,Sales,Report,High,2025-07-16,2025-07-28,2025-07-30,True,False,7,5.8,96.1,4.0
TASK00473,EMP0014,HR,Code Review,Low,2026-04-07,2026-04-21,2026-04-21,True,True,39,67.5,75.0,5.0
TASK00474,EMP0012,Finance,Feature Dev,Medium,2026-04-14,2026-04-19,2026-04-22,True,False,31,43.2,75.7,2.0
TASK00475,EMP0165,Engineering,Training,Medium,2025-11-14,2025-11-17,2025-11-18,True,False,35,62.6,67.1,4.0
TASK00476,EMP0100,HR,Training,High,2025-06-12,2025-06-22,2025-06-27,True,False,40,22.3,87.9,5.0
TASK00477,EMP0060,Finance,Bug Fix,High,2026-03-20,2026-03-22,2026-03-22,True,True,40,52.4,57.7,4.0
TASK00478,EMP0191,Support,Report,Medium,2025-08-06,2025-08-12,2025-08-16,True,False,16,30.5,53.2,4.0
TASK00479,EMP0161,Finance,Report,Medium,2025-12-01,2025-12-14,2025-12-13,True,True,29,20.3,80.1,2.0
TASK00480,EMP0084,HR,Bug Fix,Critical,2026-04-07,2026-04-09,2026-04-13,True,False,18,14.1,82.4,5.0
TASK00481,EMP0071,Engineering,Feature Dev,Medium,2025-10-17,2025-10-26,2025-10-27,True,False,22,24.5,65.2,2.0
TASK00482,EMP0065,HR,Meeting,Medium,2025-09-16,2025-09-26,2025-09-30,True,False,38,39.8,89.6,4.0
TASK00483,EMP0138,Support,Training,High,2025-05-27,2025-06-03,2025-06-08,True,False,13,13.7,85.2,4.0
TASK00484,EMP0141,Finance,Feature Dev,Low,2025-08-04,2025-08-09,2025-08-13,True,False,10,17.8,83.0,2.0
TASK00485,EMP0080,Sales,Documentation,Medium,2026-02-04,2026-02-16,,False,False,8,,,
TASK00486,EMP0158,Sales,Bug Fix,Medium,2025-06-19,2025-07-02,2025-06-30,True,True,12,13.0,94.8,1.0
TASK00487,EMP0064,Sales,Feature Dev,High,2025-10-09,2025-10-17,,False,False,29,,,
TASK00488,EMP0088,Support,Client Call,Low,2025-06-23,2025-06-27,2025-06-25,True,True,26,49.3,59.8,5.0
TASK00489,EMP0023,Finance,Report,Medium,2025-05-25,2025-05-30,2025-05-28,True,True,13,19.0,59.0,1.0
TASK00490,EMP0187,Sales,Meeting,Low,2026-03-31,2026-04-11,,False,False,35,,,
TASK00491,EMP0005,Support,Testing,Low,2025-07-31,2025-08-13,2025-08-14,True,False,12,18.1,82.5,2.0
TASK00492,EMP0180,Sales,Client Call,Medium,2026-01-18,2026-01-21,2026-01-23,True,False,27,27.8,57.3,4.0
TASK00493,EMP0081,Finance,Training,Medium,2025-07-17,2025-07-26,2025-07-25,True,True,7,9.3,68.5,5.0
TASK00494,EMP0164,HR,Bug Fix,Medium,2025-05-15,2025-05-29,2025-05-30,True,False,31,58.7,79.4,3.0
TASK00495,EMP0135,Sales,Feature Dev,Low,2025-07-12,2025-07-21,2025-07-20,True,True,34,32.0,91.8,5.0
TASK00496,EMP0028,Support,Report,Critical,2025-06-16,2025-06-25,2025-06-27,True,False,30,58.5,78.7,2.0
TASK00497,EMP0002,Sales,Report,High,2025-12-05,2025-12-18,2025-12-23,True,False,39,69.9,96.0,1.0
TASK00498,EMP0044,Support,Client Call,Low,2026-03-08,2026-03-15,2026-03-16,True,False,16,27.2,81.8,3.0
TASK00499,EMP0099,Finance,Client Call,Medium,2025-08-23,2025-08-24,2025-08-26,True,False,17,15.8,75.1,3.0
TASK00500,EMP0094,Finance,Meeting,Low,2025-05-22,2025-05-25,2025-05-28,True,False,15,27.6,68.0,2.0
TASK00501,EMP0039,Support,Report,Critical,2025-07-23,2025-08-03,,False,False,14,,,
TASK00502,EMP0095,Marketing,Documentation,High,2026-01-18,2026-01-22,2026-01-24,True,False,15,12.7,69.3,5.0
TASK00503,EMP0068,HR,Training,Medium,2025-07-10,2025-07-23,2025-07-22,True,True,33,46.9,91.6,1.0
TASK00504,EMP0040,Engineering,Report,High,2025-09-22,2025-09-28,2025-10-03,True,False,38,68.5,61.7,2.0
TASK00505,EMP0160,Sales,Training,Critical,2025-05-13,2025-05-22,2025-05-23,True,False,38,26.3,100.0,4.0
TASK00506,EMP0166,HR,Code Review,Medium,2026-01-25,2026-02-03,2026-02-06,True,False,27,48.3,89.9,4.0
TASK00507,EMP0117,Finance,Documentation,Critical,2026-02-01,2026-02-13,2026-02-16,True,False,2,1.0,69.7,4.0
TASK00508,EMP0137,HR,Documentation,Medium,2025-12-19,2025-12-25,2025-12-27,True,False,13,17.2,81.7,3.0
TASK00509,EMP0060,Finance,Client Call,Medium,2025-06-07,2025-06-17,2025-06-17,True,True,33,37.5,72.7,3.0
TASK00510,EMP0079,Sales,Documentation,Medium,2025-12-25,2026-01-01,2026-01-01,True,True,38,26.5,88.5,1.0
TASK00511,EMP0157,HR,Code Review,High,2025-04-23,2025-05-06,2025-05-10,True,False,26,20.6,74.9,4.0
TASK00512,EMP0134,Sales,Testing,High,2025-11-04,2025-11-07,2025-11-07,True,True,35,45.5,90.1,4.0
TASK00513,EMP0144,Support,Code Review,Medium,2025-05-13,2025-05-22,2025-05-20,True,True,27,17.5,75.0,1.0
TASK00514,EMP0149,HR,Meeting,Low,2025-06-14,2025-06-19,2025-06-18,True,True,30,48.5,79.6,3.0
TASK00515,EMP0200,Engineering,Testing,Medium,2025-05-25,2025-06-03,,False,False,18,,,
TASK00516,EMP0087,HR,Training,Low,2026-02-19,2026-02-21,2026-02-22,True,False,38,51.8,85.2,2.0
TASK00517,EMP0125,Marketing,Client Call,Critical,2025-09-17,2025-09-22,2025-09-27,True,False,30,55.0,88.7,5.0
TASK00518,EMP0194,Marketing,Testing,Low,2026-01-14,2026-01-25,,False,False,12,,,
TASK00519,EMP0165,Engineering,Documentation,Medium,2025-06-16,2025-06-26,2025-06-25,True,True,7,5.2,77.8,3.0
TASK00520,EMP0062,Finance,Testing,Medium,2025-07-19,2025-07-24,2025-07-28,True,False,19,34.8,92.2,5.0
TASK00521,EMP0051,Finance,Documentation,Medium,2025-10-07,2025-10-15,2025-10-15,True,True,3,2.1,85.0,3.0
TASK00522,EMP0051,Finance,Feature Dev,Critical,2025-11-16,2025-11-28,2025-11-29,True,False,12,13.1,90.3,1.0
TASK00523,EMP0138,Support,Feature Dev,Critical,2025-10-14,2025-10-22,2025-10-20,True,True,27,34.7,73.0,1.0
TASK00524,EMP0105,Sales,Meeting,Low,2026-03-19,2026-03-22,2026-03-26,True,False,21,17.7,77.2,4.0
TASK00525,EMP0006,Marketing,Testing,Medium,2025-08-06,2025-08-09,2025-08-09,True,True,3,1.7,72.0,3.0
TASK00526,EMP0141,Finance,Meeting,High,2026-03-14,2026-03-22,,False,False,36,,,
TASK00527,EMP0124,Engineering,Code Review,Medium,2026-01-14,2026-01-17,,False,False,36,,,
TASK00528,EMP0084,HR,Training,Medium,2025-09-21,2025-09-29,2025-10-03,True,False,35,51.1,74.7,3.0
TASK00529,EMP0116,Support,Client Call,Critical,2026-01-09,2026-01-17,2026-01-16,True,True,30,28.9,76.6,3.0
TASK00530,EMP0030,Finance,Training,Low,2025-11-09,2025-11-10,2025-11-10,True,True,24,22.3,64.6,1.0
TASK00531,EMP0060,Finance,Meeting,Medium,2025-11-05,2025-11-13,,False,False,32,,,
TASK00532,EMP0114,HR,Documentation,Low,2026-01-17,2026-01-24,2026-01-25,True,False,2,2.6,58.5,4.0
TASK00533,EMP0131,Support,Documentation,High,2025-06-16,2025-06-23,2025-06-23,True,True,26,45.3,73.9,3.0
TASK00534,EMP0130,Marketing,Training,Low,2026-01-08,2026-01-19,2026-01-21,True,False,20,29.5,87.2,3.0
TASK00535,EMP0135,Sales,Report,Medium,2025-07-20,2025-08-03,2025-08-03,True,True,20,13.3,100.0,5.0
TASK00536,EMP0012,Finance,Bug Fix,Medium,2025-06-11,2025-06-23,2025-06-24,True,False,22,11.6,68.7,5.0
TASK00537,EMP0173,Finance,Documentation,Low,2025-06-05,2025-06-07,2025-06-07,True,True,30,47.7,71.9,1.0
TASK00538,EMP0139,Finance,Report,Low,2026-01-29,2026-02-06,2026-02-10,True,False,21,35.3,77.7,3.0
TASK00539,EMP0106,Engineering,Client Call,Medium,2026-01-11,2026-01-24,2026-01-23,True,True,11,6.4,83.7,1.0
TASK00540,EMP0025,Support,Feature Dev,Medium,2025-08-18,2025-08-21,2025-08-23,True,False,26,45.3,82.8,2.0
TASK00541,EMP0025,Support,Feature Dev,Medium,2025-05-14,2025-05-22,2025-05-20,True,True,14,16.7,71.6,5.0
TASK00542,EMP0033,Finance,Bug Fix,Medium,2025-10-23,2025-10-27,2025-10-29,True,False,22,16.2,88.1,5.0
TASK00543,EMP0154,HR,Bug Fix,Medium,2025-08-18,2025-08-23,2025-08-25,True,False,14,14.6,79.7,2.0
TASK00544,EMP0057,Support,Meeting,Critical,2025-05-26,2025-05-30,2025-06-02,True,False,2,1.5,85.2,5.0
TASK00545,EMP0047,Marketing,Report,Low,2025-05-12,2025-05-25,2025-05-23,True,True,39,65.3,77.6,5.0
TASK00546,EMP0093,HR,Testing,Low,2025-09-14,2025-09-27,2025-09-27,True,True,33,21.0,76.7,1.0
TASK00547,EMP0068,HR,Testing,Low,2026-03-20,2026-03-31,2026-03-30,True,True,10,12.3,70.4,5.0
TASK00548,EMP0200,Engineering,Client Call,High,2025-11-13,2025-11-26,2025-12-01,True,False,14,7.4,95.4,3.0
TASK00549,EMP0021,Support,Report,High,2025-06-27,2025-07-02,,False,False,33,,,
TASK00550,EMP0152,Support,Testing,Medium,2025-04-15,2025-04-24,2025-04-25,True,False,38,29.6,57.7,3.0
TASK00551,EMP0179,Marketing,Report,High,2026-03-06,2026-03-11,2026-03-11,True,True,6,7.8,75.6,3.0
TASK00552,EMP0198,Support,Code Review,High,2025-06-09,2025-06-18,2025-06-16,True,True,34,36.3,87.7,1.0
TASK00553,EMP0128,Engineering,Training,Medium,2026-02-10,2026-02-16,2026-02-17,True,False,22,34.8,62.9,4.0
TASK00554,EMP0058,Engineering,Testing,Low,2025-12-26,2026-01-06,2026-01-06,True,True,20,19.7,59.3,1.0
TASK00555,EMP0193,Marketing,Documentation,Low,2026-02-22,2026-03-05,2026-03-05,True,True,13,23.5,77.2,1.0
TASK00556,EMP0143,Marketing,Meeting,Medium,2025-08-14,2025-08-16,2025-08-20,True,False,33,42.5,83.2,1.0
TASK00557,EMP0058,Engineering,Feature Dev,Medium,2025-04-18,2025-04-28,2025-04-26,True,True,15,22.3,67.5,4.0
TASK00558,EMP0026,Engineering,Bug Fix,High,2025-12-03,2025-12-04,2025-12-08,True,False,25,42.3,88.5,5.0
TASK00559,EMP0114,HR,Training,Low,2026-01-21,2026-01-22,2026-01-24,True,False,6,11.5,81.6,1.0
TASK00560,EMP0119,Marketing,Documentation,Low,2025-12-26,2025-12-30,2025-12-31,True,False,14,18.1,99.0,5.0
TASK00561,EMP0044,Support,Testing,Medium,2025-10-28,2025-10-31,2025-11-04,True,False,8,13.2,85.7,4.0
TASK00562,EMP0199,Marketing,Code Review,High,2026-02-03,2026-02-10,,False,False,12,,,
TASK00563,EMP0100,HR,Report,Medium,2025-08-03,2025-08-12,2025-08-12,True,True,36,71.9,55.9,3.0
TASK00564,EMP0096,HR,Testing,Critical,2026-03-05,2026-03-14,,False,False,22,,,
TASK00565,EMP0005,Support,Training,Medium,2025-12-07,2025-12-18,2025-12-21,True,False,40,34.4,73.3,2.0
TASK00566,EMP0199,Marketing,Testing,Medium,2026-01-28,2026-02-06,,False,False,18,,,
TASK00567,EMP0132,Support,Bug Fix,Critical,2025-04-27,2025-05-05,,False,False,2,,,
TASK00568,EMP0020,Finance,Documentation,Critical,2025-11-15,2025-11-25,2025-11-25,True,True,21,10.7,69.1,2.0
TASK00569,EMP0106,Engineering,Code Review,High,2025-07-27,2025-07-28,2025-07-30,True,False,37,46.9,58.8,1.0
TASK00570,EMP0149,HR,Documentation,Low,2026-03-04,2026-03-10,2026-03-12,True,False,25,45.9,90.0,2.0
TASK00571,EMP0044,Support,Feature Dev,Low,2026-01-02,2026-01-07,2026-01-11,True,False,38,71.3,80.7,3.0
TASK00572,EMP0138,Support,Bug Fix,High,2025-05-04,2025-05-07,2025-05-06,True,True,40,58.5,68.6,5.0
TASK00573,EMP0164,HR,Client Call,Medium,2025-09-13,2025-09-26,2025-09-29,True,False,24,43.7,71.0,4.0
TASK00574,EMP0174,HR,Client Call,Critical,2026-03-18,2026-03-20,2026-03-21,True,False,40,75.7,71.2,1.0
TASK00575,EMP0112,HR,Documentation,Medium,2026-01-18,2026-01-19,2026-01-19,True,True,22,27.6,67.3,2.0
TASK00576,EMP0019,Engineering,Training,Low,2026-03-14,2026-03-26,,False,False,30,,,
TASK00577,EMP0043,Engineering,Feature Dev,Low,2026-03-22,2026-03-29,2026-04-02,True,False,11,7.7,81.3,4.0
TASK00578,EMP0023,Finance,Client Call,Medium,2026-04-11,2026-04-12,2026-04-14,True,False,7,7.7,100.0,2.0
TASK00579,EMP0106,Engineering,Documentation,High,2026-03-19,2026-03-27,2026-04-01,True,False,27,39.9,76.9,5.0
TASK00580,EMP0085,Engineering,Client Call,Medium,2025-06-24,2025-07-06,2025-07-07,True,False,6,5.4,84.0,3.0
TASK00581,EMP0074,HR,Documentation,Medium,2025-11-03,2025-11-13,2025-11-17,True,False,29,30.4,70.8,3.0
TASK00582,EMP0076,Sales,Report,Medium,2026-02-05,2026-02-16,2026-02-18,True,False,12,23.8,94.1,5.0
TASK00583,EMP0049,Sales,Documentation,Low,2026-02-26,2026-02-27,,False,False,16,,,
TASK00584,EMP0083,Support,Documentation,Medium,2025-05-10,2025-05-13,2025-05-12,True,True,9,14.5,69.9,5.0
TASK00585,EMP0114,HR,Feature Dev,Critical,2025-10-16,2025-10-30,2025-11-01,True,False,2,2.0,85.6,3.0
TASK00586,EMP0092,Finance,Meeting,Medium,2025-10-13,2025-10-14,2025-10-15,True,False,15,19.8,88.3,5.0
TASK00587,EMP0030,Finance,Client Call,Medium,2025-05-19,2025-05-31,,False,False,3,,,
TASK00588,EMP0056,Sales,Documentation,Medium,2025-08-14,2025-08-25,2025-08-27,True,False,12,7.1,80.2,5.0
TASK00589,EMP0062,Finance,Meeting,Low,2025-05-31,2025-06-08,2025-06-06,True,True,6,6.5,84.2,3.0
TASK00590,EMP0030,Finance,Training,High,2026-03-13,2026-03-14,2026-03-18,True,False,16,31.5,73.9,1.0
TASK00591,EMP0111,Sales,Report,Critical,2025-11-11,2025-11-19,2025-11-18,True,True,13,10.4,84.1,5.0
TASK00592,EMP0015,HR,Code Review,Critical,2026-02-22,2026-02-23,2026-02-25,True,False,23,28.4,68.1,1.0
TASK00593,EMP0067,Sales,Training,Medium,2026-03-22,2026-03-28,2026-03-30,True,False,17,33.9,73.5,3.0
TASK00594,EMP0082,Sales,Meeting,High,2025-09-22,2025-10-03,2025-10-07,True,False,3,5.7,96.3,2.0
TASK00595,EMP0198,Support,Documentation,Low,2025-10-18,2025-10-25,2025-10-24,True,True,26,33.3,74.2,4.0
TASK00596,EMP0172,Finance,Training,Low,2025-12-31,2026-01-03,2026-01-05,True,False,40,39.8,66.8,2.0
TASK00597,EMP0200,Engineering,Training,Low,2025-08-21,2025-08-24,2025-08-25,True,False,10,9.6,76.3,2.0
TASK00598,EMP0033,Finance,Training,Medium,2025-07-07,2025-07-20,2025-07-20,True,True,22,13.2,74.0,1.0
TASK00599,EMP0155,Support,Client Call,Low,2025-05-25,2025-06-08,2025-06-06,True,True,22,40.0,85.8,4.0
TASK00600,EMP0051,Finance,Code Review,Medium,2026-02-02,2026-02-14,,False,False,19,,,
TASK00601,EMP0146,Support,Documentation,High,2025-08-13,2025-08-15,2025-08-14,True,True,19,26.8,91.9,5.0
TASK00602,EMP0117,Finance,Report,Low,2025-06-19,2025-06-30,2025-06-29,True,True,32,22.4,81.4,3.0
TASK00603,EMP0116,Support,Bug Fix,Low,2025-07-26,2025-08-02,2025-08-02,True,True,12,9.5,80.7,4.0
TASK00604,EMP0077,Engineering,Documentation,High,2025-09-09,2025-09-10,,False,False,28,,,
TASK00605,EMP0046,Sales,Report,High,2025-05-10,2025-05-14,2025-05-13,True,True,13,24.6,84.2,5.0
TASK00606,EMP0073,Support,Bug Fix,Medium,2026-03-12,2026-03-18,2026-03-19,True,False,29,32.1,68.4,5.0
TASK00607,EMP0154,HR,Training,High,2025-06-03,2025-06-10,2025-06-14,True,False,38,52.8,70.6,1.0
TASK00608,EMP0073,Support,Client Call,Medium,2025-07-09,2025-07-17,2025-07-15,True,True,17,21.7,77.0,1.0
TASK00609,EMP0112,HR,Client Call,Medium,2025-12-03,2025-12-12,2025-12-10,True,True,14,13.1,89.8,3.0
TASK00610,EMP0137,HR,Bug Fix,High,2025-06-12,2025-06-17,2025-06-21,True,False,20,28.4,86.1,5.0
TASK00611,EMP0092,Finance,Feature Dev,Critical,2026-03-10,2026-03-18,2026-03-23,True,False,7,11.1,64.6,2.0
TASK00612,EMP0146,Support,Bug Fix,High,2025-12-02,2025-12-14,2025-12-18,True,False,28,27.6,65.4,2.0
TASK00613,EMP0044,Support,Feature Dev,Medium,2026-01-03,2026-01-15,,False,False,31,,,
TASK00614,EMP0146,Support,Report,Low,2025-09-29,2025-10-11,2025-10-11,True,True,9,5.7,83.0,3.0
TASK00615,EMP0055,Marketing,Bug Fix,Low,2026-02-28,2026-03-12,2026-03-12,True,True,26,34.5,87.9,2.0
TASK00616,EMP0153,Support,Code Review,Critical,2025-12-19,2025-12-29,2025-12-29,True,True,12,21.6,79.1,1.0
TASK00617,EMP0161,Finance,Feature Dev,Medium,2026-02-18,2026-02-23,2026-02-28,True,False,20,28.8,81.4,2.0
TASK00618,EMP0082,Sales,Report,Critical,2026-04-05,2026-04-06,2026-04-08,True,False,2,2.4,79.9,5.0
TASK00619,EMP0006,Marketing,Documentation,High,2025-12-12,2025-12-22,,False,False,17,,,
TASK00620,EMP0043,Engineering,Bug Fix,Medium,2025-09-07,2025-09-15,2025-09-20,True,False,7,9.8,67.3,2.0
TASK00621,EMP0076,Sales,Bug Fix,High,2025-04-18,2025-04-23,2025-04-24,True,False,5,3.9,85.5,3.0
TASK00622,EMP0113,Finance,Bug Fix,Low,2025-12-16,2025-12-30,2026-01-01,True,False,23,43.3,76.9,1.0
TASK00623,EMP0063,Finance,Training,Medium,2025-08-25,2025-08-28,2025-08-30,True,False,40,54.3,92.9,2.0
TASK00624,EMP0002,Sales,Testing,Critical,2025-07-31,2025-08-12,2025-08-10,True,True,7,11.6,94.6,3.0
TASK00625,EMP0131,Support,Report,High,2026-02-08,2026-02-22,2026-02-26,True,False,37,22.1,78.3,2.0
TASK00626,EMP0113,Finance,Documentation,Low,2025-08-15,2025-08-29,2025-09-02,True,False,35,28.5,78.3,5.0
TASK00627,EMP0183,Finance,Meeting,Low,2026-01-06,2026-01-16,2026-01-15,True,True,32,50.8,99.4,4.0
TASK00628,EMP0085,Engineering,Report,Medium,2025-06-16,2025-06-22,2025-06-25,True,False,10,14.2,75.2,5.0
TASK00629,EMP0092,Finance,Documentation,High,2025-11-24,2025-12-02,2025-12-02,True,True,16,25.0,70.8,1.0
TASK00630,EMP0118,Support,Client Call,Low,2026-03-02,2026-03-10,2026-03-09,True,True,15,25.5,94.7,4.0
TASK00631,EMP0043,Engineering,Meeting,Low,2025-05-02,2025-05-08,2025-05-09,True,False,2,2.9,90.2,3.0
TASK00632,EMP0042,Engineering,Testing,High,2025-04-27,2025-05-02,2025-05-05,True,False,2,1.3,77.7,3.0
TASK00633,EMP0178,Support,Testing,Medium,2025-04-16,2025-04-26,2025-04-24,True,True,13,10.3,61.9,4.0
TASK00634,EMP0089,Engineering,Report,Critical,2025-12-06,2025-12-19,2025-12-19,True,True,32,23.5,63.1,5.0
TASK00635,EMP0097,HR,Meeting,High,2025-12-05,2025-12-13,2025-12-17,True,False,5,8.8,79.6,5.0
TASK00636,EMP0018,Support,Testing,High,2025-09-27,2025-10-03,2025-10-01,True,True,15,20.5,88.6,3.0
TASK00637,EMP0188,Sales,Training,Low,2025-05-29,2025-06-01,2025-05-30,True,True,23,45.4,84.8,2.0
TASK00638,EMP0161,Finance,Testing,Medium,2026-01-11,2026-01-18,2026-01-17,True,True,21,32.7,72.7,1.0
TASK00639,EMP0131,Support,Meeting,Low,2025-10-27,2025-10-29,2025-10-30,True,False,25,29.4,81.4,2.0
TASK00640,EMP0019,Engineering,Report,Medium,2025-05-07,2025-05-10,2025-05-08,True,True,14,26.2,79.6,5.0
TASK00641,EMP0035,Engineering,Documentation,Low,2026-01-27,2026-02-04,,False,False,11,,,
TASK00642,EMP0084,HR,Feature Dev,Medium,2025-04-26,2025-05-04,2025-05-06,True,False,22,15.7,59.9,5.0
TASK00643,EMP0038,Finance,Training,Medium,2026-03-03,2026-03-06,2026-03-04,True,True,31,33.5,100.0,1.0
TASK00644,EMP0023,Finance,Bug Fix,Low,2025-07-19,2025-07-20,2025-07-20,True,True,23,27.6,68.6,1.0
TASK00645,EMP0031,Support,Documentation,Medium,2025-05-22,2025-06-02,2025-05-31,True,True,38,62.2,80.0,3.0
TASK00646,EMP0149,HR,Meeting,Low,2026-03-05,2026-03-10,2026-03-13,True,False,30,45.2,85.4,2.0
TASK00647,EMP0200,Engineering,Training,Low,2025-07-07,2025-07-09,2025-07-08,True,True,15,19.7,61.9,3.0
TASK00648,EMP0153,Support,Testing,Low,2025-04-20,2025-05-02,2025-05-03,True,False,12,7.3,65.7,5.0
TASK00649,EMP0179,Marketing,Feature Dev,Medium,2025-04-28,2025-05-01,2025-04-29,True,True,8,8.6,73.2,4.0
TASK00650,EMP0090,Finance,Documentation,Medium,2025-07-30,2025-08-11,2025-08-16,True,False,24,23.2,98.1,5.0
TASK00651,EMP0105,Sales,Report,Low,2025-10-13,2025-10-26,2025-10-26,True,True,7,12.0,77.2,1.0
TASK00652,EMP0157,HR,Documentation,Medium,2025-04-30,2025-05-11,2025-05-16,True,False,32,27.1,74.7,2.0
TASK00653,EMP0038,Finance,Testing,High,2025-12-30,2026-01-09,2026-01-12,True,False,27,20.9,76.7,3.0
TASK00654,EMP0074,HR,Code Review,Medium,2025-05-29,2025-05-30,2025-05-30,True,True,24,29.2,76.9,3.0
TASK00655,EMP0085,Engineering,Feature Dev,High,2025-08-23,2025-09-02,2025-09-01,True,True,27,46.6,83.8,3.0
TASK00656,EMP0061,Engineering,Documentation,Medium,2025-05-15,2025-05-17,2025-05-22,True,False,27,37.4,81.6,5.0
TASK00657,EMP0171,Finance,Feature Dev,Low,2025-09-23,2025-09-26,,False,False,26,,,
TASK00658,EMP0038,Finance,Testing,Medium,2025-08-22,2025-09-05,2025-09-09,True,False,29,39.2,79.1,5.0
TASK00659,EMP0152,Support,Feature Dev,Medium,2026-02-09,2026-02-12,2026-02-11,True,True,38,66.7,62.8,5.0
TASK00660,EMP0082,Sales,Client Call,Medium,2026-03-22,2026-03-28,2026-04-02,True,False,13,12.5,87.8,1.0
TASK00661,EMP0089,Engineering,Bug Fix,Medium,2025-08-12,2025-08-23,2025-08-27,True,False,22,27.3,87.9,1.0
TASK00662,EMP0181,Support,Code Review,Low,2025-05-03,2025-05-06,,False,False,2,,,
TASK00663,EMP0098,Finance,Documentation,Medium,2026-01-05,2026-01-13,2026-01-17,True,False,38,44.5,88.5,3.0
TASK00664,EMP0052,Engineering,Client Call,Low,2025-10-21,2025-11-03,,False,False,21,,,
TASK00665,EMP0047,Marketing,Bug Fix,High,2025-04-20,2025-04-26,,False,False,39,,,
TASK00666,EMP0060,Finance,Training,Medium,2026-03-02,2026-03-11,2026-03-11,True,True,20,11.9,71.7,1.0
TASK00667,EMP0102,Finance,Bug Fix,Low,2025-06-03,2025-06-12,2025-06-15,True,False,9,16.1,87.0,2.0
TASK00668,EMP0063,Finance,Client Call,Medium,2025-11-18,2025-11-28,2025-12-01,True,False,26,28.8,100.0,5.0
TASK00669,EMP0054,Engineering,Testing,Low,2026-04-05,2026-04-08,2026-04-09,True,False,37,39.8,70.4,4.0
TASK00670,EMP0026,Engineering,Bug Fix,Low,2026-03-31,2026-04-14,2026-04-14,True,True,2,1.2,62.9,2.0
TASK00671,EMP0196,HR,Client Call,High,2025-07-26,2025-08-03,2025-08-03,True,True,7,4.9,91.7,4.0
TASK00672,EMP0076,Sales,Client Call,High,2025-05-06,2025-05-18,2025-05-22,True,False,13,15.4,92.3,5.0
TASK00673,EMP0183,Finance,Report,High,2025-07-02,2025-07-09,2025-07-09,True,True,29,40.8,76.6,2.0
TASK00674,EMP0199,Marketing,Report,High,2025-07-20,2025-07-25,2025-07-28,True,False,4,7.9,84.1,3.0
TASK00675,EMP0137,HR,Code Review,Low,2026-03-14,2026-03-22,,False,False,7,,,
TASK00676,EMP0051,Finance,Report,High,2025-12-27,2026-01-05,,False,False,19,,,
TASK00677,EMP0200,Engineering,Documentation,Medium,2025-06-24,2025-07-03,,False,False,7,,,
TASK00678,EMP0014,HR,Meeting,Medium,2025-12-11,2025-12-23,2025-12-22,True,True,36,61.1,93.1,5.0
TASK00679,EMP0194,Marketing,Report,Low,2025-05-20,2025-05-26,2025-05-24,True,True,32,37.8,91.9,5.0
TASK00680,EMP0144,Support,Meeting,High,2025-07-10,2025-07-17,2025-07-19,True,False,20,15.0,95.0,5.0
TASK00681,EMP0057,Support,Meeting,Low,2025-08-20,2025-08-31,2025-08-31,True,True,38,21.9,81.6,5.0
TASK00682,EMP0129,HR,Meeting,Low,2025-06-17,2025-06-25,2025-06-24,True,True,19,16.7,77.9,3.0
TASK00683,EMP0091,HR,Report,High,2025-07-17,2025-07-18,2025-07-18,True,True,39,62.7,96.4,3.0
TASK00684,EMP0129,HR,Training,High,2025-11-08,2025-11-13,2025-11-14,True,False,33,25.5,82.0,1.0
TASK00685,EMP0034,HR,Code Review,Medium,2025-10-07,2025-10-09,,False,False,40,,,
TASK00686,EMP0195,Finance,Documentation,High,2025-07-31,2025-08-13,,False,False,26,,,
